release_id,year,month,state,district,department,scheme,from_level,to_level,from_entity,to_entity,amount_released,amount_received,absorption_ratio,gap_amount
4048,2023,7,Rajasthan,Jodhpur,Social Welfare,PMAY,Central,State,Central Government,Rajasthan,5914660.95,5844276.48,0.9881,70384.47
4049,2023,7,Rajasthan,Jodhpur,Social Welfare,PMAY,State,District,Rajasthan,Jodhpur,5576327.73,5295280.81,0.9496,281046.92
4050,2023,7,Rajasthan,Jodhpur,Social Welfare,PMAY,District,Department,Jodhpur,Social Welfare - PMAY,5147212.83,4885734.42,0.9492,261478.41
4051,2023,7,Rajasthan,Jodhpur,Urban Development,AMRUT,Central,State,Central Government,Rajasthan,4748360.09,3931167.32,0.8279,817192.77
4052,2023,7,Rajasthan,Jodhpur,Urban Development,AMRUT,State,District,Rajasthan,Jodhpur,3811040.97,2395239.25,0.6285,1415801.72
4053,2023,7,Rajasthan,Jodhpur,Urban Development,AMRUT,District,Department,Jodhpur,Urban Development - AMRUT,2371427.16,1637944.74,0.6907,733482.42
4054,2023,7,Rajasthan,Jodhpur,Water Supply,JJM,Central,State,Central Government,Rajasthan,3704897.47,2738289.72,0.7391,966607.75
4055,2023,7,Rajasthan,Jodhpur,Water Supply,JJM,State,District,Rajasthan,Jodhpur,2703008.26,2050772.37,0.7587,652235.89
4056,2023,7,Rajasthan,Jodhpur,Water Supply,JJM,District,Department,Jodhpur,Water Supply - JJM,1999463.93,1291253.81,0.6458,708210.12
4057,2023,7,Rajasthan,Kota,Agriculture,PMKSY,Central,State,Central Government,Rajasthan,5061661.54,3894442.39,0.7694,1167219.15
4058,2023,7,Rajasthan,Kota,Agriculture,PMKSY,State,District,Rajasthan,Kota,3779213.15,2533962.42,0.6705,1245250.73
4059,2023,7,Rajasthan,Kota,Agriculture,PMKSY,District,Department,Kota,Agriculture - PMKSY,2499893.67,1590682.34,0.6363,909211.33
4060,2023,7,Rajasthan,Kota,Education,SSA,Central,State,Central Government,Rajasthan,6634360.13,6287383.1,0.9477,346977.03
4061,2023,7,Rajasthan,Kota,Education,SSA,State,District,Rajasthan,Kota,6064177.04,5657270.76,0.9329,406906.28
4062,2023,7,Rajasthan,Kota,Education,SSA,District,Department,Kota,Education - SSA,5407767.77,4844278.37,0.8958,563489.4
4063,2023,7,Rajasthan,Kota,Health,NHM,Central,State,Central Government,Rajasthan,6541939.88,5887745.89,0.9,654193.99
4064,2023,7,Rajasthan,Kota,Health,NHM,State,District,Rajasthan,Kota,5630726.96,5424642.35,0.9634,206084.61
4065,2023,7,Rajasthan,Kota,Health,NHM,District,Department,Kota,Health - NHM,5388664.67,4668739.07,0.8664,719925.6
4066,2023,7,Rajasthan,Kota,Infrastructure,PMGSY,Central,State,Central Government,Rajasthan,8721258.16,7928495.79,0.9091,792762.37
4067,2023,7,Rajasthan,Kota,Infrastructure,PMGSY,State,District,Rajasthan,Kota,7916961.7,6718333.7,0.8486,1198628.0
4068,2023,7,Rajasthan,Kota,Infrastructure,PMGSY,District,Department,Kota,Infrastructure - PMGSY,6611331.0,5199150.7,0.7864,1412180.3
4069,2023,7,Rajasthan,Kota,Rural Development,MGNREGS,Central,State,Central Government,Rajasthan,5091376.97,4965619.96,0.9753,125757.01
4070,2023,7,Rajasthan,Kota,Rural Development,MGNREGS,State,District,Rajasthan,Kota,4851157.67,4159382.59,0.8574,691775.08
4071,2023,7,Rajasthan,Kota,Rural Development,MGNREGS,District,Department,Kota,Rural Development - MGNREGS,3976426.11,3461081.29,0.8704,515344.82
4072,2023,7,Rajasthan,Kota,Social Welfare,PMAY,Central,State,Central Government,Rajasthan,5681074.46,5553250.28,0.9775,127824.18
4073,2023,7,Rajasthan,Kota,Social Welfare,PMAY,State,District,Rajasthan,Kota,5539628.53,5213344.41,0.9411,326284.12
4074,2023,7,Rajasthan,Kota,Social Welfare,PMAY,District,Department,Kota,Social Welfare - PMAY,5031848.04,4861268.39,0.9661,170579.65
4075,2023,7,Rajasthan,Kota,Urban Development,AMRUT,Central,State,Central Government,Rajasthan,4677037.56,4315502.56,0.9227,361535.0
4076,2023,7,Rajasthan,Kota,Urban Development,AMRUT,State,District,Rajasthan,Kota,4214998.91,4014364.96,0.9524,200633.95
4077,2023,7,Rajasthan,Kota,Urban Development,AMRUT,District,Department,Kota,Urban Development - AMRUT,3834350.15,3512264.74,0.916,322085.41
4078,2023,7,Rajasthan,Kota,Water Supply,JJM,Central,State,Central Government,Rajasthan,4295297.2,4181901.35,0.9736,113395.85
4079,2023,7,Rajasthan,Kota,Water Supply,JJM,State,District,Rajasthan,Kota,4121683.64,3953518.95,0.9592,168164.69
4080,2023,7,Rajasthan,Kota,Water Supply,JJM,District,Department,Kota,Water Supply - JJM,3835366.98,3678884.01,0.9592,156482.97
4081,2023,7,Uttar Pradesh,Agra,Agriculture,PMKSY,Central,State,Central Government,Uttar Pradesh,3914091.18,2633400.55,0.6728,1280690.63
4082,2023,7,Uttar Pradesh,Agra,Agriculture,PMKSY,State,District,Uttar Pradesh,Agra,2557114.92,1806857.4,0.7066,750257.52
4083,2023,7,Uttar Pradesh,Agra,Agriculture,PMKSY,District,Department,Agra,Agriculture - PMKSY,1750511.62,1145709.86,0.6545,604801.76
4084,2023,7,Uttar Pradesh,Agra,Education,SSA,Central,State,Central Government,Uttar Pradesh,6111192.55,5877133.88,0.9617,234058.67
4085,2023,7,Uttar Pradesh,Agra,Education,SSA,State,District,Uttar Pradesh,Agra,5711461.71,5080345.19,0.8895,631116.52
4086,2023,7,Uttar Pradesh,Agra,Education,SSA,District,Department,Agra,Education - SSA,5033614.52,4561461.48,0.9062,472153.04
4087,2023,7,Uttar Pradesh,Agra,Health,NHM,Central,State,Central Government,Uttar Pradesh,6881549.68,3671994.91,0.5336,3209554.77
4088,2023,7,Uttar Pradesh,Agra,Health,NHM,State,District,Uttar Pradesh,Agra,3605548.83,1805298.3,0.5007,1800250.53
4089,2023,7,Uttar Pradesh,Agra,Health,NHM,District,Department,Agra,Health - NHM,1736336.62,1011589.71,0.5826,724746.91
4090,2023,7,Uttar Pradesh,Agra,Infrastructure,PMGSY,Central,State,Central Government,Uttar Pradesh,8209935.43,6915228.61,0.8423,1294706.82
4091,2023,7,Uttar Pradesh,Agra,Infrastructure,PMGSY,State,District,Uttar Pradesh,Agra,6571814.27,5388230.52,0.8199,1183583.75
4092,2023,7,Uttar Pradesh,Agra,Infrastructure,PMGSY,District,Department,Agra,Infrastructure - PMGSY,5137405.7,4518862.05,0.8796,618543.65
4093,2023,7,Uttar Pradesh,Agra,Rural Development,MGNREGS,Central,State,Central Government,Uttar Pradesh,5874165.85,5106999.79,0.8694,767166.06
4094,2023,7,Uttar Pradesh,Agra,Rural Development,MGNREGS,State,District,Uttar Pradesh,Agra,4913188.19,4626749.32,0.9417,286438.87
4095,2023,7,Uttar Pradesh,Agra,Rural Development,MGNREGS,District,Department,Agra,Rural Development - MGNREGS,4515744.4,3777420.19,0.8365,738324.21
4096,2023,7,Uttar Pradesh,Agra,Social Welfare,PMAY,Central,State,Central Government,Uttar Pradesh,4754219.17,3428267.44,0.7211,1325951.73
4097,2023,7,Uttar Pradesh,Agra,Social Welfare,PMAY,State,District,Uttar Pradesh,Agra,3314279.02,2178475.6,0.6573,1135803.42
4098,2023,7,Uttar Pradesh,Agra,Social Welfare,PMAY,District,Department,Agra,Social Welfare - PMAY,2110702.88,1366680.11,0.6475,744022.77
4099,2023,7,Uttar Pradesh,Agra,Urban Development,AMRUT,Central,State,Central Government,Uttar Pradesh,4154631.15,4054089.08,0.9758,100542.07
4100,2023,7,Uttar Pradesh,Agra,Urban Development,AMRUT,State,District,Uttar Pradesh,Agra,3968385.59,3743378.13,0.9433,225007.46
4101,2023,7,Uttar Pradesh,Agra,Urban Development,AMRUT,District,Department,Agra,Urban Development - AMRUT,3592012.61,3377928.66,0.9404,214083.95
4102,2023,7,Uttar Pradesh,Agra,Water Supply,JJM,Central,State,Central Government,Uttar Pradesh,3907712.06,3649803.06,0.934,257909.0
4103,2023,7,Uttar Pradesh,Agra,Water Supply,JJM,State,District,Uttar Pradesh,Agra,3588499.89,3213501.65,0.8955,374998.24
4104,2023,7,Uttar Pradesh,Agra,Water Supply,JJM,District,Department,Agra,Water Supply - JJM,3073237.7,2624852.32,0.8541,448385.38
4105,2023,7,Uttar Pradesh,Ghaziabad,Agriculture,PMKSY,Central,State,Central Government,Uttar Pradesh,4198329.82,2848146.95,0.6784,1350182.87
4106,2023,7,Uttar Pradesh,Ghaziabad,Agriculture,PMKSY,State,District,Uttar Pradesh,Ghaziabad,2730519.97,2066730.57,0.7569,663789.4
4107,2023,7,Uttar Pradesh,Ghaziabad,Agriculture,PMKSY,District,Department,Ghaziabad,Agriculture - PMKSY,1965030.69,1343491.48,0.6837,621539.21
4108,2023,7,Uttar Pradesh,Ghaziabad,Education,SSA,Central,State,Central Government,Uttar Pradesh,4976133.74,3688310.33,0.7412,1287823.41
4109,2023,7,Uttar Pradesh,Ghaziabad,Education,SSA,State,District,Uttar Pradesh,Ghaziabad,3607689.44,2440241.14,0.6764,1167448.3
4110,2023,7,Uttar Pradesh,Ghaziabad,Education,SSA,District,Department,Ghaziabad,Education - SSA,2354235.92,1671507.5,0.71,682728.42
4111,2023,7,Uttar Pradesh,Ghaziabad,Health,NHM,Central,State,Central Government,Uttar Pradesh,6177636.16,3112910.86,0.5039,3064725.3
4112,2023,7,Uttar Pradesh,Ghaziabad,Health,NHM,State,District,Uttar Pradesh,Ghaziabad,2972459.24,1995709.13,0.6714,976750.11
4113,2023,7,Uttar Pradesh,Ghaziabad,Health,NHM,District,Department,Ghaziabad,Health - NHM,1930838.15,1038404.76,0.5378,892433.39
4114,2023,7,Uttar Pradesh,Ghaziabad,Infrastructure,PMGSY,Central,State,Central Government,Uttar Pradesh,8106185.53,6861075.43,0.8464,1245110.1
4115,2023,7,Uttar Pradesh,Ghaziabad,Infrastructure,PMGSY,State,District,Uttar Pradesh,Ghaziabad,6720194.1,5835144.54,0.8683,885049.56
4116,2023,7,Uttar Pradesh,Ghaziabad,Infrastructure,PMGSY,District,Department,Ghaziabad,Infrastructure - PMGSY,5602612.15,4623275.55,0.8252,979336.6
4117,2023,7,Uttar Pradesh,Ghaziabad,Rural Development,MGNREGS,Central,State,Central Government,Uttar Pradesh,6044760.08,5602283.64,0.9268,442476.44
4118,2023,7,Uttar Pradesh,Ghaziabad,Rural Development,MGNREGS,State,District,Uttar Pradesh,Ghaziabad,5349317.38,4767311.65,0.8912,582005.73
4119,2023,7,Uttar Pradesh,Ghaziabad,Rural Development,MGNREGS,District,Department,Ghaziabad,Rural Development - MGNREGS,4696454.69,4129592.61,0.8793,566862.08
4120,2023,7,Uttar Pradesh,Ghaziabad,Social Welfare,PMAY,Central,State,Central Government,Uttar Pradesh,4653861.06,3152990.87,0.6775,1500870.19
4121,2023,7,Uttar Pradesh,Ghaziabad,Social Welfare,PMAY,State,District,Uttar Pradesh,Ghaziabad,3107299.82,2305305.74,0.7419,801994.08
4122,2023,7,Uttar Pradesh,Ghaziabad,Social Welfare,PMAY,District,Department,Ghaziabad,Social Welfare - PMAY,2192856.02,1451232.11,0.6618,741623.91
4123,2023,7,Uttar Pradesh,Ghaziabad,Urban Development,AMRUT,Central,State,Central Government,Uttar Pradesh,4578421.18,4396200.02,0.9602,182221.16
4124,2023,7,Uttar Pradesh,Ghaziabad,Urban Development,AMRUT,State,District,Uttar Pradesh,Ghaziabad,4223898.83,3924424.4,0.9291,299474.43
4125,2023,7,Uttar Pradesh,Ghaziabad,Urban Development,AMRUT,District,Department,Ghaziabad,Urban Development - AMRUT,3907393.57,3539317.1,0.9058,368076.47
4126,2023,7,Uttar Pradesh,Ghaziabad,Water Supply,JJM,Central,State,Central Government,Uttar Pradesh,3121653.04,2578797.58,0.8261,542855.46
4127,2023,7,Uttar Pradesh,Ghaziabad,Water Supply,JJM,State,District,Uttar Pradesh,Ghaziabad,2451233.51,1794548.05,0.7321,656685.46
4128,2023,7,Uttar Pradesh,Ghaziabad,Water Supply,JJM,District,Department,Ghaziabad,Water Supply - JJM,1741863.65,1269818.6,0.729,472045.05
4129,2023,7,Uttar Pradesh,Kanpur,Agriculture,PMKSY,Central,State,Central Government,Uttar Pradesh,4022158.46,3324716.18,0.8266,697442.28
4130,2023,7,Uttar Pradesh,Kanpur,Agriculture,PMKSY,State,District,Uttar Pradesh,Kanpur,3260500.61,2487109.87,0.7628,773390.74
4131,2023,7,Uttar Pradesh,Kanpur,Agriculture,PMKSY,District,Department,Kanpur,Agriculture - PMKSY,2373399.15,1489307.97,0.6275,884091.18
4132,2023,7,Uttar Pradesh,Kanpur,Education,SSA,Central,State,Central Government,Uttar Pradesh,5804389.52,3796070.75,0.654,2008318.77
4133,2023,7,Uttar Pradesh,Kanpur,Education,SSA,State,District,Uttar Pradesh,Kanpur,3761313.54,2341417.68,0.6225,1419895.86
4134,2023,7,Uttar Pradesh,Kanpur,Education,SSA,District,Department,Kanpur,Education - SSA,2301276.28,1506875.71,0.6548,794400.57
4135,2023,7,Uttar Pradesh,Kanpur,Health,NHM,Central,State,Central Government,Uttar Pradesh,6156812.25,3970528.22,0.6449,2186284.03
4136,2023,7,Uttar Pradesh,Kanpur,Health,NHM,State,District,Uttar Pradesh,Kanpur,3839992.19,1728764.48,0.4502,2111227.71
4137,2023,7,Uttar Pradesh,Kanpur,Health,NHM,District,Department,Kanpur,Health - NHM,1648346.32,901975.11,0.5472,746371.21
4138,2023,7,Uttar Pradesh,Kanpur,Infrastructure,PMGSY,Central,State,Central Government,Uttar Pradesh,9295683.17,8612450.46,0.9265,683232.71
4139,2023,7,Uttar Pradesh,Kanpur,Infrastructure,PMGSY,State,District,Uttar Pradesh,Kanpur,8401331.53,7182298.32,0.8549,1219033.21
4140,2023,7,Uttar Pradesh,Kanpur,Infrastructure,PMGSY,District,Department,Kanpur,Infrastructure - PMGSY,6966142.45,5451703.08,0.7826,1514439.37
4141,2023,7,Uttar Pradesh,Kanpur,Rural Development,MGNREGS,Central,State,Central Government,Uttar Pradesh,5817189.52,5682812.44,0.9769,134377.08
4142,2023,7,Uttar Pradesh,Kanpur,Rural Development,MGNREGS,State,District,Uttar Pradesh,Kanpur,5646884.44,4872131.89,0.8628,774752.55
4143,2023,7,Uttar Pradesh,Kanpur,Rural Development,MGNREGS,District,Department,Kanpur,Rural Development - MGNREGS,4771716.13,4221537.26,0.8847,550178.87
4144,2023,7,Uttar Pradesh,Kanpur,Social Welfare,PMAY,Central,State,Central Government,Uttar Pradesh,5247182.73,3427459.76,0.6532,1819722.97
4145,2023,7,Uttar Pradesh,Kanpur,Social Welfare,PMAY,State,District,Uttar Pradesh,Kanpur,3268855.85,2327098.48,0.7119,941757.37
4146,2023,7,Uttar Pradesh,Kanpur,Social Welfare,PMAY,District,Department,Kanpur,Social Welfare - PMAY,2323542.6,1635773.99,0.704,687768.61
4147,2023,7,Uttar Pradesh,Kanpur,Urban Development,AMRUT,Central,State,Central Government,Uttar Pradesh,4502311.72,4128619.85,0.917,373691.87
4148,2023,7,Uttar Pradesh,Kanpur,Urban Development,AMRUT,State,District,Uttar Pradesh,Kanpur,4081413.86,3894076.96,0.9541,187336.9
4149,2023,7,Uttar Pradesh,Kanpur,Urban Development,AMRUT,District,Department,Kanpur,Urban Development - AMRUT,3819640.62,3418960.32,0.8951,400680.3
4150,2023,7,Uttar Pradesh,Kanpur,Water Supply,JJM,Central,State,Central Government,Uttar Pradesh,3773378.42,3677534.61,0.9746,95843.81
4151,2023,7,Uttar Pradesh,Kanpur,Water Supply,JJM,State,District,Uttar Pradesh,Kanpur,3638603.35,3259824.74,0.8959,378778.61
4152,2023,7,Uttar Pradesh,Kanpur,Water Supply,JJM,District,Department,Kanpur,Water Supply - JJM,3212341.6,2778675.48,0.865,433666.12
4153,2023,7,Uttar Pradesh,Lucknow,Agriculture,PMKSY,Central,State,Central Government,Uttar Pradesh,4017280.03,2756657.56,0.6862,1260622.47
4154,2023,7,Uttar Pradesh,Lucknow,Agriculture,PMKSY,State,District,Uttar Pradesh,Lucknow,2643445.61,1799657.77,0.6808,843787.84
4155,2023,7,Uttar Pradesh,Lucknow,Agriculture,PMKSY,District,Department,Lucknow,Agriculture - PMKSY,1747328.18,1181718.05,0.6763,565610.13
4156,2023,7,Uttar Pradesh,Lucknow,Education,SSA,Central,State,Central Government,Uttar Pradesh,5198652.7,5070765.84,0.9754,127886.86
4157,2023,7,Uttar Pradesh,Lucknow,Education,SSA,State,District,Uttar Pradesh,Lucknow,4824623.43,4681332.11,0.9703,143291.32
4158,2023,7,Uttar Pradesh,Lucknow,Education,SSA,District,Department,Lucknow,Education - SSA,4539896.15,4244348.91,0.9349,295547.24
4159,2023,7,Uttar Pradesh,Lucknow,Health,NHM,Central,State,Central Government,Uttar Pradesh,6441140.85,4245355.93,0.6591,2195784.92
4160,2023,7,Uttar Pradesh,Lucknow,Health,NHM,State,District,Uttar Pradesh,Lucknow,4215164.14,2354590.69,0.5586,1860573.45
4161,2023,7,Uttar Pradesh,Lucknow,Health,NHM,District,Department,Lucknow,Health - NHM,2252275.63,1293031.44,0.5741,959244.19
4162,2023,7,Uttar Pradesh,Lucknow,Infrastructure,PMGSY,Central,State,Central Government,Uttar Pradesh,9122877.31,8095641.32,0.8874,1027235.99
4163,2023,7,Uttar Pradesh,Lucknow,Infrastructure,PMGSY,State,District,Uttar Pradesh,Lucknow,7717170.41,7001788.71,0.9073,715381.7
4164,2023,7,Uttar Pradesh,Lucknow,Infrastructure,PMGSY,District,Department,Lucknow,Infrastructure - PMGSY,6695789.76,5827345.83,0.8703,868443.93
4165,2023,7,Uttar Pradesh,Lucknow,Rural Development,MGNREGS,Central,State,Central Government,Uttar Pradesh,5629281.69,5124898.05,0.9104,504383.64
4166,2023,7,Uttar Pradesh,Lucknow,Rural Development,MGNREGS,State,District,Uttar Pradesh,Lucknow,5059393.71,4555984.04,0.9005,503409.67
4167,2023,7,Uttar Pradesh,Lucknow,Rural Development,MGNREGS,District,Department,Lucknow,Rural Development - MGNREGS,4511124.83,3803780.46,0.8432,707344.37
4168,2023,7,Uttar Pradesh,Lucknow,Social Welfare,PMAY,Central,State,Central Government,Uttar Pradesh,4225814.09,3098366.89,0.7332,1127447.2
4169,2023,7,Uttar Pradesh,Lucknow,Social Welfare,PMAY,State,District,Uttar Pradesh,Lucknow,3089221.41,2185624.15,0.7075,903597.26
4170,2023,7,Uttar Pradesh,Lucknow,Social Welfare,PMAY,District,Department,Lucknow,Social Welfare - PMAY,2126898.54,1526687.77,0.7178,600210.77
4171,2023,7,Uttar Pradesh,Lucknow,Urban Development,AMRUT,Central,State,Central Government,Uttar Pradesh,4053256.09,3850187.96,0.9499,203068.13
4172,2023,7,Uttar Pradesh,Lucknow,Urban Development,AMRUT,State,District,Uttar Pradesh,Lucknow,3692291.33,3385092.69,0.9168,307198.64
4173,2023,7,Uttar Pradesh,Lucknow,Urban Development,AMRUT,District,Department,Lucknow,Urban Development - AMRUT,3379688.81,3050845.09,0.9027,328843.72
4174,2023,7,Uttar Pradesh,Lucknow,Water Supply,JJM,Central,State,Central Government,Uttar Pradesh,3634757.12,3282185.68,0.903,352571.44
4175,2023,7,Uttar Pradesh,Lucknow,Water Supply,JJM,State,District,Uttar Pradesh,Lucknow,3194856.48,2986232.35,0.9347,208624.13
4176,2023,7,Uttar Pradesh,Lucknow,Water Supply,JJM,District,Department,Lucknow,Water Supply - JJM,2960854.26,2526793.03,0.8534,434061.23
4177,2023,7,Uttar Pradesh,Varanasi,Agriculture,PMKSY,Central,State,Central Government,Uttar Pradesh,4457915.86,3337641.6,0.7487,1120274.26
4178,2023,7,Uttar Pradesh,Varanasi,Agriculture,PMKSY,State,District,Uttar Pradesh,Varanasi,3203687.69,2169216.93,0.6771,1034470.76
4179,2023,7,Uttar Pradesh,Varanasi,Agriculture,PMKSY,District,Department,Varanasi,Agriculture - PMKSY,2091334.4,1421270.86,0.6796,670063.54
4180,2023,7,Uttar Pradesh,Varanasi,Education,SSA,Central,State,Central Government,Uttar Pradesh,4695348.55,4292957.18,0.9143,402391.37
4181,2023,7,Uttar Pradesh,Varanasi,Education,SSA,State,District,Uttar Pradesh,Varanasi,4252752.14,3756455.97,0.8833,496296.17
4182,2023,7,Uttar Pradesh,Varanasi,Education,SSA,District,Department,Varanasi,Education - SSA,3612470.31,3185115.07,0.8817,427355.24
4183,2023,7,Uttar Pradesh,Varanasi,Health,NHM,Central,State,Central Government,Uttar Pradesh,6412593.55,4256679.6,0.6638,2155913.95
4184,2023,7,Uttar Pradesh,Varanasi,Health,NHM,State,District,Uttar Pradesh,Varanasi,4139053.16,2653960.89,0.6412,1485092.27
4185,2023,7,Uttar Pradesh,Varanasi,Health,NHM,District,Department,Varanasi,Health - NHM,2603316.19,1115000.32,0.4283,1488315.87
4186,2023,7,Uttar Pradesh,Varanasi,Infrastructure,PMGSY,Central,State,Central Government,Uttar Pradesh,6963990.86,6175667.09,0.8868,788323.77
4187,2023,7,Uttar Pradesh,Varanasi,Infrastructure,PMGSY,State,District,Uttar Pradesh,Varanasi,5989436.57,5370727.77,0.8967,618708.8
4188,2023,7,Uttar Pradesh,Varanasi,Infrastructure,PMGSY,District,Department,Varanasi,Infrastructure - PMGSY,5258140.44,4305365.39,0.8188,952775.05
4189,2023,7,Uttar Pradesh,Varanasi,Rural Development,MGNREGS,Central,State,Central Government,Uttar Pradesh,4915146.12,4322871.01,0.8795,592275.11
4190,2023,7,Uttar Pradesh,Varanasi,Rural Development,MGNREGS,State,District,Uttar Pradesh,Varanasi,4231118.29,3702228.5,0.875,528889.79
4191,2023,7,Uttar Pradesh,Varanasi,Rural Development,MGNREGS,District,Department,Varanasi,Rural Development - MGNREGS,3612436.04,2951721.49,0.8171,660714.55
4192,2023,7,Uttar Pradesh,Varanasi,Social Welfare,PMAY,Central,State,Central Government,Uttar Pradesh,5093502.9,4092629.58,0.8035,1000873.32
4193,2023,7,Uttar Pradesh,Varanasi,Social Welfare,PMAY,State,District,Uttar Pradesh,Varanasi,3940780.64,2792043.08,0.7085,1148737.56
4194,2023,7,Uttar Pradesh,Varanasi,Social Welfare,PMAY,District,Department,Varanasi,Social Welfare - PMAY,2788626.64,1812607.32,0.65,976019.32
4195,2023,7,Uttar Pradesh,Varanasi,Urban Development,AMRUT,Central,State,Central Government,Uttar Pradesh,4030574.75,2685168.9,0.6662,1345405.85
4196,2023,7,Uttar Pradesh,Varanasi,Urban Development,AMRUT,State,District,Uttar Pradesh,Varanasi,2632273.09,1674388.91,0.6361,957884.18
4197,2023,7,Uttar Pradesh,Varanasi,Urban Development,AMRUT,District,Department,Varanasi,Urban Development - AMRUT,1670976.12,1181881.41,0.7073,489094.71
4198,2023,7,Uttar Pradesh,Varanasi,Water Supply,JJM,Central,State,Central Government,Uttar Pradesh,3314260.51,3261563.77,0.9841,52696.74
4199,2023,7,Uttar Pradesh,Varanasi,Water Supply,JJM,State,District,Uttar Pradesh,Varanasi,3194657.52,3074857.86,0.9625,119799.66
4200,2023,7,Uttar Pradesh,Varanasi,Water Supply,JJM,District,Department,Varanasi,Water Supply - JJM,3053083.77,2954774.47,0.9678,98309.3
4201,2023,8,Karnataka,Belagavi,Agriculture,PMKSY,Central,State,Central Government,Karnataka,5129179.59,5070706.94,0.9886,58472.65
4202,2023,8,Karnataka,Belagavi,Agriculture,PMKSY,State,District,Karnataka,Belagavi,4965067.1,4800723.38,0.9669,164343.72
4203,2023,8,Karnataka,Belagavi,Agriculture,PMKSY,District,Department,Belagavi,Agriculture - PMKSY,4669779.51,4345229.83,0.9305,324549.68
4204,2023,8,Karnataka,Belagavi,Education,SSA,Central,State,Central Government,Karnataka,7079489.95,6525165.89,0.9217,554324.06
4205,2023,8,Karnataka,Belagavi,Education,SSA,State,District,Karnataka,Belagavi,6365209.01,5779609.78,0.908,585599.23
4206,2023,8,Karnataka,Belagavi,Education,SSA,District,Department,Belagavi,Education - SSA,5620232.77,5162745.82,0.9186,457486.95
4207,2023,8,Karnataka,Belagavi,Health,NHM,Central,State,Central Government,Karnataka,8069889.19,7900421.52,0.979,169467.67
4208,2023,8,Karnataka,Belagavi,Health,NHM,State,District,Karnataka,Belagavi,7558141.9,7122792.93,0.9424,435348.97
4209,2023,8,Karnataka,Belagavi,Health,NHM,District,Department,Belagavi,Health - NHM,7042807.35,6680102.77,0.9485,362704.58
4210,2023,8,Karnataka,Belagavi,Infrastructure,PMGSY,Central,State,Central Government,Karnataka,9485824.28,8058207.73,0.8495,1427616.55
4211,2023,8,Karnataka,Belagavi,Infrastructure,PMGSY,State,District,Karnataka,Belagavi,7885693.09,6568782.34,0.833,1316910.75
4212,2023,8,Karnataka,Belagavi,Infrastructure,PMGSY,District,Department,Belagavi,Infrastructure - PMGSY,6315247.64,4933471.46,0.7812,1381776.18
4213,2023,8,Karnataka,Belagavi,Rural Development,MGNREGS,Central,State,Central Government,Karnataka,6992013.24,6825603.32,0.9762,166409.92
4214,2023,8,Karnataka,Belagavi,Rural Development,MGNREGS,State,District,Karnataka,Belagavi,6524211.56,6454402.5,0.9893,69809.06
4215,2023,8,Karnataka,Belagavi,Rural Development,MGNREGS,District,Department,Belagavi,Rural Development - MGNREGS,6231284.34,5773284.94,0.9265,457999.4
4216,2023,8,Karnataka,Belagavi,Social Welfare,PMAY,Central,State,Central Government,Karnataka,5679345.79,5575981.7,0.9818,103364.09
4217,2023,8,Karnataka,Belagavi,Social Welfare,PMAY,State,District,Karnataka,Belagavi,5315037.89,5225213.75,0.9831,89824.14
4218,2023,8,Karnataka,Belagavi,Social Welfare,PMAY,District,Department,Belagavi,Social Welfare - PMAY,5215155.13,4862089.13,0.9323,353066.0
4219,2023,8,Karnataka,Belagavi,Urban Development,AMRUT,Central,State,Central Government,Karnataka,5228618.81,5073851.69,0.9704,154767.12
4220,2023,8,Karnataka,Belagavi,Urban Development,AMRUT,State,District,Karnataka,Belagavi,4982702.54,4786882.33,0.9607,195820.21
4221,2023,8,Karnataka,Belagavi,Urban Development,AMRUT,District,Department,Belagavi,Urban Development - AMRUT,4612175.12,4290706.51,0.9303,321468.61
4222,2023,8,Karnataka,Belagavi,Water Supply,JJM,Central,State,Central Government,Karnataka,5179713.67,5067313.88,0.9783,112399.79
4223,2023,8,Karnataka,Belagavi,Water Supply,JJM,State,District,Karnataka,Belagavi,4859467.69,4735551.26,0.9745,123916.43
4224,2023,8,Karnataka,Belagavi,Water Supply,JJM,District,Department,Belagavi,Water Supply - JJM,4632570.14,4460701.79,0.9629,171868.35
4225,2023,8,Karnataka,Bengaluru,Agriculture,PMKSY,Central,State,Central Government,Karnataka,5635704.99,5555114.41,0.9857,80590.58
4226,2023,8,Karnataka,Bengaluru,Agriculture,PMKSY,State,District,Karnataka,Bengaluru,5464431.83,5168259.62,0.9458,296172.21
4227,2023,8,Karnataka,Bengaluru,Agriculture,PMKSY,District,Department,Bengaluru,Agriculture - PMKSY,5089397.34,4794721.23,0.9421,294676.11
4228,2023,8,Karnataka,Bengaluru,Education,SSA,Central,State,Central Government,Karnataka,6313894.93,6142156.99,0.9728,171737.94
4229,2023,8,Karnataka,Bengaluru,Education,SSA,State,District,Karnataka,Bengaluru,6032468.32,5785740.37,0.9591,246727.95
4230,2023,8,Karnataka,Bengaluru,Education,SSA,District,Department,Bengaluru,Education - SSA,5773247.41,5406646.2,0.9365,366601.21
4231,2023,8,Karnataka,Bengaluru,Health,NHM,Central,State,Central Government,Karnataka,7355993.76,7267721.83,0.988,88271.93
4232,2023,8,Karnataka,Bengaluru,Health,NHM,State,District,Karnataka,Bengaluru,7002589.25,6863937.98,0.9802,138651.27
